scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_wait_s,compute_s,tensor_gib,intensity,placement
random_same,three_tier_clos,ring,synthetic,optimize,balanced,0,synthetic,16,0.000000,0.000000,25.456059,25.456059,24.466015,0.000000,0.330015,8.594861,27964405134.098450,0:0;0:3;0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2;5:5
random_same,three_tier_clos,ring,synthetic,optimize,balanced,1,synthetic,16,0.000000,0.000000,27.257532,27.257532,25.771905,0.000000,0.495209,9.277925,20116950358.263126,0:7;1:2;1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1;6:4
random_same,three_tier_clos,ring,synthetic,optimize,balanced,2,synthetic,16,0.000000,0.000000,7.004653,7.004653,3.207827,0.000000,1.265609,0.716645,608001173.609735,1:6;2:1;2:4;2:7;3:2;3:5;4:0;4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0;7:3
random_same,three_tier_clos,ring,synthetic,optimize,balanced,3,synthetic,16,34.213227,34.213227,56.170329,21.957103,21.059852,0.000000,0.299084,9.096861,32658700195.001358,2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7;0:2
random_same,three_tier_clos,ring,synthetic,optimize,balanced,4,synthetic,16,37.349171,37.349171,60.060881,22.711710,21.861209,0.000000,0.283500,9.638824,36506519330.634674,3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1;6:4;6:7;7:2;7:5;0:0;0:3;0:6;1:1
random_same,three_tier_clos,ring,synthetic,optimize,balanced,5,synthetic,16,37.349171,37.349171,45.323737,7.974565,3.000082,0.000000,1.658161,0.797007,516101780.945749,4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0;7:3;7:6;0:1;0:4;0:7;1:2;1:5;2:0
random_same,three_tier_clos,ring,synthetic,optimize,balanced,6,synthetic,16,70.274126,70.274126,89.554525,19.280399,18.181057,0.000000,0.366447,10.371652,30390390190.311924,5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7;0:2;0:5;1:0;1:3;1:6;2:1;2:4;2:7
random_same,three_tier_clos,ring,synthetic,optimize,balanced,7,synthetic,16,75.458262,75.458262,94.892423,19.434160,18.150431,0.000000,0.427910,10.470158,26272467870.272526,6:1;6:4;6:7;7:2;7:5;0:0;0:3;0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3;3:6
random_same,three_tier_clos,ring,synthetic,optimize,balanced,8,synthetic,16,75.458262,75.458262,84.111576,8.653314,4.776771,0.000000,1.292181,1.515434,1259254399.633792,7:0;7:3;7:6;0:1;0:4;0:7;1:2;1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2;4:5
random_same,three_tier_clos,ring,synthetic,optimize,balanced,9,synthetic,16,111.464784,111.464784,138.654173,27.189389,26.176084,0.000000,0.337768,10.753814,34185608902.838707,7:7;0:2;0:5;1:0;1:3;1:6;2:1;2:4;2:7;3:2;3:5;4:0;4:3;4:6;5:1;5:4
random_same,three_tier_clos,ring,synthetic,optimize,balanced,10,synthetic,16,117.214079,117.214079,146.336841,29.122762,28.114532,0.000000,0.336077,11.256473,35963653528.793274,0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2;5:5;6:0;6:3
random_same,three_tier_clos,ring,synthetic,optimize,balanced,11,synthetic,16,117.214079,117.214079,126.747606,9.533527,6.018016,0.000000,1.171837,1.348916,1235997695.369468,1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1;6:4;6:7;7:2
random_same,three_tier_clos,ring,synthetic,optimize,balanced,12,synthetic,16,154.046639,154.046639,172.854676,18.808037,17.349202,0.000000,0.486278,9.244129,20411778123.156746,2:4;2:7;3:2;3:5;4:0;4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0;7:3;7:6;0:1
random_same,three_tier_clos,ring,synthetic,optimize,balanced,13,synthetic,16,161.733874,161.733874,179.527499,17.793625,16.699756,0.000000,0.364623,8.787376,25877072630.473759,3:3;3:6;4:1;4:4;4:7;5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7;0:2;0:5;1:0
random_same,three_tier_clos,ring,synthetic,optimize,balanced,14,synthetic,16,161.733874,161.733874,167.213181,5.479307,1.923260,0.000000,1.185349,0.520569,471554361.091303,4:2;4:5;5:0;5:3;5:6;6:1;6:4;6:7;7:2;7:5;0:0;0:3;0:6;1:1;1:4;1:7
random_same,three_tier_clos,ring,synthetic,optimize,balanced,15,synthetic,16,191.238383,191.238383,209.100065,17.861682,16.703141,0.000000,0.386180,10.068517,27994678241.121250,5:1;5:4;5:7;6:2;6:5;7:0;7:3;7:6;0:1;0:4;0:7;1:2;1:5;2:0;2:3;2:6
random_same,three_tier_clos,ring,synthetic,optimize,balanced,16,synthetic,16,196.795087,196.795087,213.543272,16.748185,15.280362,0.000000,0.489275,8.743782,19188741088.109432,6:0;6:3;6:6;7:1;7:4;7:7;0:2;0:5;1:0;1:3;1:6;2:1;2:4;2:7;3:2;3:5
random_same,three_tier_clos,ring,synthetic,optimize,balanced,17,synthetic,16,196.795087,196.795087,203.723682,6.928596,3.197915,0.000000,1.243560,0.935807,808014853.340134,6:7;7:2;7:5;0:0;0:3;0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3;3:6;4:1;4:4
random_same,three_tier_clos,ring,synthetic,optimize,balanced,18,synthetic,16,231.316481,231.316481,255.362691,24.046210,22.573987,0.000000,0.490741,7.897884,17280578825.862865,7:6;0:1;0:4;0:7;1:2;1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2;4:5;5:0;5:3
random_same,three_tier_clos,ring,synthetic,optimize,balanced,19,synthetic,16,232.061742,232.061742,255.045813,22.984071,22.049879,0.000000,0.311397,7.417540,25576712651.024464,0:5;1:0;1:3;1:6;2:1;2:4;2:7;3:2;3:5;4:0;4:3;4:6;5:1;5:4;5:7;6:2
random_same,three_tier_clos,ring,synthetic,optimize,balanced,20,synthetic,16,232.061742,232.061742,239.815333,7.753591,3.454397,0.000000,1.433065,0.772251,578618928.820329,1:4;1:7;2:2;2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2;5:5;6:0;6:3;6:6;7:1
random_same,three_tier_clos,ring,synthetic,optimize,balanced,21,synthetic,16,263.317744,263.317744,289.534100,26.216356,25.189761,0.000000,0.342198,11.604968,36413792148.431976,2:3;2:6;3:1;3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1;6:4;6:7;7:2;7:5;0:0
random_same,three_tier_clos,ring,synthetic,optimize,balanced,22,synthetic,16,263.317744,263.317744,286.225063,22.907319,21.781314,0.000000,0.375335,9.093786,26015083443.504391,3:2;3:5;4:0;4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0;7:3;7:6;0:1;0:4;0:7
random_same,three_tier_clos,ring,synthetic,optimize,balanced,23,synthetic,16,261.668219,261.668219,270.934699,9.266480,4.045412,0.000000,1.740356,1.352284,834314197.659992,4:1;4:4;4:7;5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7;0:2;0:5;1:0;1:3;1:6
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,0,synthetic,16,159.880443,159.880443,172.132417,12.251974,11.261930,0.000000,0.330015,8.594861,27964405134.098450,0:0;0:3;0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2;5:5
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,1,synthetic,16,235.849486,235.849486,262.268087,26.418600,24.932973,0.000000,0.495209,9.277925,20116950358.263126,0:7;1:2;1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1;6:4
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,2,synthetic,16,383.423858,383.423858,388.739391,5.315533,1.518706,0.000000,1.265609,0.716645,608001173.609735,1:6;2:1;2:4;2:7;3:2;3:5;4:0;4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0;7:3
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,3,synthetic,16,82.628886,82.628886,103.218221,20.589335,19.692085,0.000000,0.299084,9.096861,32658700195.001358,2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7;0:2
