link_name,bandwidth_bps,total_bytes,utilization,makespan_s
local0,75000000000.0,1636017817770.0,0.128137,170.236707
local1,75000000000.0,1636017817770.0,0.128137,170.236707
local2,75000000000.0,1808275500990.0,0.141628,170.236707
local3,75000000000.0,1808275500990.0,0.141628,170.236707
local4,75000000000.0,1707906699450.0,0.133767,170.236707
local5,75000000000.0,1707906699450.0,0.133767,170.236707
local6,75000000000.0,1624104233640.0,0.127204,170.236707
local7,75000000000.0,1624104233640.0,0.127204,170.236707
nic0_0,12500000000.0,467433662220.0,0.219663,170.236707
nic1_0,12500000000.0,467433662220.0,0.219663,170.236707
nic2_0,12500000000.0,516650143140.0,0.242791,170.236707
nic3_0,12500000000.0,516650143140.0,0.242791,170.236707
nic4_0,12500000000.0,487973342700.0,0.229315,170.236707
nic5_0,12500000000.0,487973342700.0,0.229315,170.236707
nic6_0,12500000000.0,464029781040.0,0.218063,170.236707
nic7_0,12500000000.0,464029781040.0,0.218063,170.236707
sw0_0,25000000000.0,241652170128.0,0.056780,170.236707
sw0_1,25000000000.0,242324906748.0,0.056938,170.236707
sw0_2,25000000000.0,241719979017.0,0.056796,170.236707
sw0_3,25000000000.0,241490881923.0,0.056742,170.236707
sw0_4,25000000000.0,242369562147.0,0.056949,170.236707
sw0_5,25000000000.0,241696825527.0,0.056791,170.236707
sw0_6,25000000000.0,242301753258.0,0.056933,170.236707
sw0_7,25000000000.0,242530850352.0,0.056987,170.236707
sw1_0,50000000000.0,484021732275.0,0.056865,170.236707
sw1_1,50000000000.0,484021732275.0,0.056865,170.236707
sw1_2,50000000000.0,484021732275.0,0.056865,170.236707
sw1_3,50000000000.0,484021732275.0,0.056865,170.236707
sw2_0,100000000000.0,968043464550.0,0.056865,170.236707
sw2_1,100000000000.0,968043464550.0,0.056865,170.236707
