scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_s,tensor_gib,intensity,placement
random_same,star,ring,synthetic,replay,throughput,0,synthetic,8,0.000000,0.000000,93.569205,93.569205,91.589118,0.330015,8.594861,27964405134.098450,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1
random_same,star,ring,synthetic,replay,throughput,1,synthetic,8,0.000000,0.000000,100.545068,100.545068,97.716954,0.495209,9.277925,20116950358.263126,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0
random_same,star,ring,synthetic,replay,throughput,2,synthetic,8,0.000000,0.000000,17.340090,17.340090,11.692943,1.265609,0.716645,608001173.609735,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3
random_same,star,ring,synthetic,replay,throughput,3,synthetic,8,0.000000,0.000000,97.705793,97.705793,95.911286,0.299084,9.096861,32658700195.001358,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
random_same,star,ring,synthetic,replay,throughput,4,synthetic,8,0.000000,0.000000,101.602200,101.602200,100.086954,0.283500,9.638824,36506519330.634674,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1
random_same,star,ring,synthetic,replay,throughput,5,synthetic,8,0.000000,0.000000,21.107501,21.107501,13.808766,1.658161,0.797007,516101780.945749,0:3;1:2;2:1;3:0;3:3;4:2;5:1;6:0
random_same,star,ring,synthetic,replay,throughput,6,synthetic,8,0.000000,0.000000,105.793334,105.793334,103.594650,0.366447,10.371652,30390390190.311924,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3
random_same,star,ring,synthetic,replay,throughput,7,synthetic,8,0.000000,0.000000,106.330674,106.330674,103.848049,0.427910,10.470158,26272467870.272526,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2
random_same,star,ring,synthetic,replay,throughput,8,synthetic,8,0.000000,0.000000,28.265898,28.265898,22.524226,1.292181,1.515434,1259254399.633792,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1
random_same,star,ring,synthetic,replay,throughput,9,synthetic,8,0.000000,0.000000,106.941121,106.941121,105.177197,0.337768,10.753814,34185608902.838707,7:3;0:2;1:1;2:0;2:3;3:2;4:1;5:0
random_same,star,ring,synthetic,replay,throughput,10,synthetic,8,0.000000,0.000000,107.579156,107.579156,105.568758,0.336077,11.256473,35963653528.793274,1:2;2:1;3:0;3:3;4:2;5:1;6:0;6:3
random_same,star,ring,synthetic,replay,throughput,11,synthetic,8,0.000000,0.000000,25.021237,25.021237,19.712620,1.171837,1.348916,1235997695.369468,3:1;4:0;4:3;5:2;6:1;7:0;7:3;0:2
random_intensity,star,ring,synthetic,replay,throughput,0,synthetic,8,0.000000,0.000000,93.569636,93.569636,91.589548,0.330015,8.594861,27964405134.098450,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1
random_intensity,star,ring,synthetic,replay,throughput,1,synthetic,8,0.000000,0.000000,100.545129,100.545129,97.717010,0.495209,9.277925,20116950358.263126,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0
random_intensity,star,ring,synthetic,replay,throughput,2,synthetic,8,0.000000,0.000000,17.338076,17.338076,11.700521,1.265609,0.716645,608001173.609735,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3
random_intensity,star,ring,synthetic,replay,throughput,3,synthetic,8,0.000000,0.000000,97.706283,97.706283,95.911776,0.299084,9.096861,32658700195.001358,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
random_intensity,star,ring,synthetic,replay,throughput,4,synthetic,8,0.000000,0.000000,101.602252,101.602252,100.087011,0.283500,9.638824,36506519330.634674,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1
random_intensity,star,ring,synthetic,replay,throughput,5,synthetic,8,0.000000,0.000000,21.106547,21.106547,13.807812,1.658161,0.797007,516101780.945749,0:3;1:2;2:1;3:0;3:3;4:2;5:1;6:0
random_intensity,star,ring,synthetic,replay,throughput,6,synthetic,8,0.000000,0.000000,105.793386,105.793386,103.594702,0.366447,10.371652,30390390190.311924,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3
random_intensity,star,ring,synthetic,replay,throughput,7,synthetic,8,0.000000,0.000000,106.330333,106.330333,103.848397,0.427910,10.470158,26272467870.272526,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2
random_intensity,star,ring,synthetic,replay,throughput,8,synthetic,8,0.000000,0.000000,28.266989,28.266989,22.546105,1.292181,1.515434,1259254399.633792,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1
