round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.677718,3.441913,5.832057,1.412955
0,random_intensity,0.688813,3.349982,5.678909,1.412955
0,crux_no_compress,0.698972,3.273680,5.629366,1.310998
0,crux,0.698972,3.273680,5.629366,1.310998
1,random_same,0.693169,5.001848,11.449826,1.117785
1,random_intensity,0.693587,4.982647,11.449826,1.117785
1,crux_no_compress,0.718039,4.704343,10.799514,1.096535
1,crux,0.718039,4.704343,10.799514,1.096535
2,random_same,0.625209,5.690774,8.149131,2.282188
2,random_intensity,0.644604,5.551810,7.708495,2.282188
2,crux_no_compress,0.675867,4.979179,7.547069,2.259735
2,crux,0.675867,4.979179,7.547069,2.259735
3,random_same,0.650388,4.825232,6.937940,2.048965
3,random_intensity,0.664203,4.756945,6.653411,2.048965
3,crux_no_compress,0.668166,4.725444,6.653411,2.048965
3,crux,0.668166,4.725444,6.653411,2.048965
4,random_same,0.621456,7.398821,16.444076,3.063742
4,random_intensity,0.632004,7.283339,16.089326,3.063742
4,crux_no_compress,0.653317,7.044965,15.793291,3.063742
4,crux,0.653317,7.044965,15.793291,3.063742
5,random_same,0.674343,4.251963,6.926713,1.813599
5,random_intensity,0.678227,4.217959,6.804938,1.813599
5,crux_no_compress,0.693241,4.126876,6.494798,1.813599
5,crux,0.693241,4.126876,6.494798,1.813599
6,random_same,0.726935,4.789905,11.768544,1.744211
6,random_intensity,0.727122,4.780977,11.768544,1.744211
6,crux_no_compress,0.741203,4.647505,11.310609,1.744211
6,crux,0.741203,4.647505,11.310609,1.744211
7,random_same,0.635282,6.785664,7.965403,2.182431
7,random_intensity,0.648069,6.651845,7.840282,2.182431
7,crux_no_compress,0.648655,6.477687,7.840282,2.083208
7,crux,0.648655,6.477687,7.840282,2.083208
8,random_same,0.725389,4.542649,10.476274,1.132788
8,random_intensity,0.727220,4.516522,10.444266,1.132788
8,crux_no_compress,0.742256,4.374184,10.175476,1.112577
8,crux,0.742256,4.374184,10.175476,1.112577
9,random_same,0.712985,4.730412,10.459931,1.363129
9,random_intensity,0.723161,4.645300,10.178362,1.363129
9,crux_no_compress,0.724543,4.591001,10.459931,1.334278
9,crux,0.724543,4.591001,10.459931,1.334278
10,random_same,0.698491,3.703980,6.167371,1.249119
10,random_intensity,0.707832,3.627130,5.931895,1.249119
10,crux_no_compress,0.707936,3.623111,5.931895,1.232371
10,crux,0.707936,3.623111,5.931895,1.232371
11,random_same,0.681291,3.658130,4.849632,1.367233
11,random_intensity,0.689827,3.605729,4.849632,1.367233
11,crux_no_compress,0.689955,3.600257,4.849632,1.343977
11,crux,0.689955,3.600257,4.849632,1.343977
12,random_same,0.606429,7.916857,7.165569,2.403577
12,random_intensity,0.628401,7.708638,6.722907,2.403577
12,crux_no_compress,0.660385,6.539462,6.473028,2.098388
12,crux,0.660385,6.539462,6.473028,2.098388
13,random_same,0.598017,5.115875,7.510717,1.757098
