round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.638603,1.774568,3.023884,1.166194
0,random_intensity,0.667332,1.703824,2.953346,1.166194
0,crux_no_compress,0.720714,1.564938,2.536600,1.144911
0,crux,0.714432,1.581057,2.536600,1.144911
1,random_same,0.580016,2.135725,4.600439,1.025012
1,random_intensity,0.595131,2.096830,4.546176,1.025012
1,crux_no_compress,0.645622,1.896454,3.869513,1.009968
1,crux,0.639953,1.910879,3.869513,1.025012
2,random_same,0.606684,1.968319,4.040115,1.043902
2,random_intensity,0.624780,1.923737,4.008253,1.043902
2,crux_no_compress,0.699245,1.726305,3.292128,1.037937
2,crux,0.695670,1.735269,3.292128,1.037937
3,random_same,0.677533,1.579405,2.432917,1.103065
3,random_intensity,0.713286,1.497273,2.333552,1.103065
3,crux_no_compress,0.730681,1.459878,2.297942,1.063997
3,crux,0.726766,1.471576,2.297942,1.073226
4,random_same,0.627612,1.897911,3.559730,1.033598
4,random_intensity,0.649922,1.836575,3.533068,1.033598
4,crux_no_compress,0.715074,1.678249,3.006316,1.019966
4,crux,0.710597,1.689994,3.006316,1.029101
5,random_same,0.653635,1.749311,3.172652,1.078955
5,random_intensity,0.680060,1.691793,3.095670,1.078955
5,crux_no_compress,0.707105,1.600118,2.804528,1.061205
5,crux,0.704743,1.605841,2.804528,1.072377
6,random_same,0.540746,2.415843,5.006008,1.059081
6,random_intensity,0.585873,2.249182,4.567182,1.059081
6,crux_no_compress,0.656817,2.018292,3.728647,1.046136
6,crux,0.652419,2.043895,3.803635,1.053075
7,random_same,0.581194,2.100132,4.360239,1.138032
7,random_intensity,0.611635,2.027488,4.333270,1.138032
7,crux_no_compress,0.671642,1.803421,3.492123,1.104865
7,crux,0.664631,1.832315,3.560409,1.138032
8,random_same,0.607594,2.013189,3.895607,1.119199
8,random_intensity,0.633899,1.949436,3.841362,1.119199
8,crux_no_compress,0.683945,1.765644,3.199460,1.106751
