scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_wait_s,compute_s,tensor_gib,intensity,placement
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,0,unknown-8gpu,8,121.970641,121.970641,126.131209,4.160568,1.508133,0.000000,0.884145,2.316204,2812892803.461080,7:0;7:1;7:2;7:3;7:4;7:5;7:6;7:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,1,GPT-large,8,55.416671,55.416671,69.264796,13.848125,6.231119,0.000000,2.539002,9.572436,4048175184.881014,7:0;7:1;7:2;7:3;7:4;7:5;7:6;7:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,2,unknown-large,8,100.857542,100.857542,112.871080,12.013539,5.137704,0.000000,2.291945,7.892551,3697541654.251312,7:0;7:1;7:2;7:3;7:4;7:5;7:6;7:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,3,GPT-large,8,109.329673,109.329673,124.499891,15.170217,6.514254,0.000000,2.885321,10.007436,3724161916.196938,1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,4,unknown-8gpu,8,159.608702,159.608702,163.736136,4.127434,1.552309,0.000000,0.858375,2.384075,2982240907.590272,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,5,unknown-large,8,102.647677,102.647677,114.198745,11.551069,4.994521,0.000000,2.185516,7.672570,3769525963.922333,5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,6,unknown-large,8,69.238223,69.238223,81.415595,12.177372,5.377836,0.000000,2.266512,8.261482,3913810626.911822,3:0;3:1;3:2;3:3;3:4;3:5;3:6;3:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,7,unknown-8gpu,8,149.128151,149.128151,153.246018,4.117867,1.519441,0.000000,0.866142,2.333577,2892896574.031104,5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,8,GPT,6,128.801244,128.801244,143.847768,15.046523,2.817647,0.000000,4.076292,6.059671,1596186483.299014,7:0;7:1;7:2;7:3;7:4;7:5
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,9,unknown-large,8,119.493491,119.493491,132.265623,12.772131,5.153841,0.000000,2.539430,7.917344,3347673843.262250,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,10,unknown-8gpu,8,137.222441,137.222441,141.542875,4.320434,1.491845,0.000000,0.942863,2.291180,2609218722.457367,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,11,GPT,8,104.426618,104.426618,112.947338,8.520720,3.696264,0.000000,1.608152,5.677973,3791107485.886130,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,12,GPT-large,8,123.044668,123.044668,138.039388,14.994720,6.260640,0.000000,2.911360,9.617792,3547148248.561706,5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,13,unknown-large,8,82.819287,82.819287,94.911574,12.092287,5.372251,0.000000,2.240012,8.252901,3955998884.395005,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,14,unknown-8gpu,8,155.936085,155.936085,163.048882,7.112798,1.575422,0.000000,1.845792,2.419584,1407530500.447079,5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,15,GPT-large,8,30.000000,30.000000,44.034348,14.034348,6.426360,0.000000,2.535996,9.872398,4179977663.913489,7:0;7:1;7:2;7:3;7:4;7:5;7:6;7:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,16,unknown-large,8,136.037913,136.037913,147.901856,11.863943,4.979981,0.000000,2.294654,7.650231,3579787187.071054,1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,17,unknown-large,8,80.301263,80.301263,91.905316,11.604053,5.054531,0.000000,2.183174,7.764767,3818914608.508075,7:0;7:1;7:2;7:3;7:4;7:5;7:6;7:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,18,unknown-large,8,111.442874,111.442874,123.587659,12.144785,5.169938,0.000000,2.324949,7.942074,3667924338.599675,3:0;3:1;3:2;3:3;3:4;3:5;3:6;3:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,19,unknown-large,8,75.500287,75.500287,87.476399,11.976111,5.252193,0.000000,2.241306,8.068449,3865349553.390289,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,20,GPT-large,8,41.000000,41.000000,54.847705,13.847705,6.379085,0.000000,2.489540,9.799767,4226652190.105404,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,21,unknown-large,8,131.239514,131.239514,146.522167,15.282653,5.311259,0.000000,3.323798,8.159196,2635800970.881354,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,22,unknown-large,8,88.115258,88.115258,100.037576,11.922318,5.246394,0.000000,2.225308,8.059539,3888838806.340127,1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,23,GPT-large,8,43.000000,43.000000,57.276242,14.276242,6.753586,0.000000,2.507552,10.375137,4442667002.171795,3:0;3:1;3:2;3:3;3:4;3:5;3:6;3:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,24,unknown-small,2,139.737943,139.737943,141.785414,2.047471,0.091090,0.000000,0.652127,0.978794,1611606412.370989,3:0;3:1
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,25,unknown-8gpu,8,132.744319,132.744319,137.076979,4.332660,1.503012,0.000000,0.943216,2.308336,2627772331.093688,3:0;3:1;3:2;3:3;3:4;3:5;3:6;3:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,26,unknown-large,8,93.136231,93.136231,105.272920,12.136690,5.341537,0.000000,2.265051,8.205713,3889897951.013249,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,27,unknown-large,8,166.484427,166.484427,181.719560,15.235132,5.201893,0.000000,3.344413,7.991170,2565608210.377749,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,28,GPT-large,8,50.000000,50.000000,63.776886,13.776886,6.618904,0.000000,2.385994,10.168216,4575886944.672109,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,29,unknown-large,8,109.670526,109.670526,121.948705,12.278179,5.245666,0.000000,2.344171,8.058421,3691140135.723846,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,30,unknown-mid,8,118.331099,118.331099,125.309902,6.978803,2.683355,0.000000,1.431816,4.121774,3090984548.905569,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,31,unknown-large,8,96.778770,96.778770,109.020603,12.241833,5.256780,0.000000,2.328351,8.075496,3724093920.867044,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,32,unknown-8gpu,8,156.722021,156.722021,160.999428,4.277406,1.555833,0.000000,0.907191,2.389489,2828174306.499884,1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,33,unknown-large,8,87.513542,87.513542,100.036902,12.523361,5.439191,0.000000,2.361390,8.355745,3799420204.700994,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,34,GPT-large,8,57.000000,57.000000,71.100572,14.100572,6.616259,0.000000,2.494771,10.164152,4374619998.345840,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,35,unknown-large,8,81.375557,81.375557,93.238371,11.862814,5.312560,0.000000,2.183418,8.161194,4013439172.699802,5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,36,unknown-large,8,60.000000,60.000000,71.697276,11.697276,5.464401,0.000000,2.077625,8.394477,4338367629.146766,5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,37,unknown-small,2,163.753961,163.753961,165.819089,2.065128,0.091059,0.000000,0.658023,0.978460,1596621128.913488,1:0;1:1
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,38,unknown-large,8,136.759915,136.759915,150.229688,13.469773,5.295460,0.000000,2.724771,8.134922,3205702786.170921,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,39,GPT-large,8,63.000000,63.000000,76.629975,13.629975,6.484482,0.000000,2.381831,9.961695,4490784005.847468,1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,40,unknown-large,8,90.940533,90.940533,102.572615,11.632082,5.008259,0.000000,2.207941,7.693677,3741505219.227710,3:0;3:1;3:2;3:3;3:4;3:5;3:6;3:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,41,unknown-large,8,66.146285,66.146285,78.042675,11.896390,5.347312,0.000000,2.183026,8.214586,4040421211.220052,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,42,unknown-large,8,148.326599,148.326599,163.412519,15.085920,5.076222,0.000000,3.336566,7.798092,2509507537.929658,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,43,unknown-8gpu,8,130.061758,130.061758,134.353009,4.291250,1.620695,0.000000,0.890185,2.489141,3002403767.231737,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,44,GPT-large,8,68.000000,68.000000,81.665370,13.665370,6.476341,0.000000,2.396343,9.949187,4457983768.057031,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,45,unknown-large,8,155.929169,155.929169,172.495088,16.565919,5.407272,0.000000,3.719549,8.306707,2397940913.162743,6:0;6:1;6:2;6:3;6:4;6:5;6:6;6:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,46,unknown-large,8,114.733557,114.733557,127.200726,12.467169,5.397171,0.000000,2.356666,8.291188,3777622847.805718,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7
crux_no_compress,three_tier_clos,ring,trace,optimize,balanced,47,unknown-8gpu,8,141.393770,141.393770,145.583386,4.189617,1.549443,0.000000,0.880058,2.379671,2903390776.585071,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7
