scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_wait_s,compute_s,tensor_gib,intensity,placement
random_same,three_tier_clos,ring,trace,optimize,balanced,0,unknown-8gpu,8,0.000000,0.000000,7.536113,7.536113,4.883678,0.000000,0.884145,2.316204,2812892803.461080,0:0;0:3;0:6;1:1;1:4;1:7;2:2;2:5
random_same,three_tier_clos,ring,trace,optimize,balanced,1,GPT-large,8,0.000000,0.000000,30.195810,30.195810,22.578804,0.000000,2.539002,9.572436,4048175184.881014,0:7;1:2;1:5;2:0;2:3;2:6;3:1;3:4
random_same,three_tier_clos,ring,trace,optimize,balanced,2,unknown-large,8,1.000000,1.000000,26.912417,25.912417,19.036582,0.000000,2.291945,7.892551,3697541654.251312,1:6;2:1;2:4;2:7;3:2;3:5;4:0;4:3
random_same,three_tier_clos,ring,trace,optimize,balanced,3,GPT-large,8,6.830604,6.830604,35.014041,28.183437,19.527474,0.000000,2.885321,10.007436,3724161916.196938,2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2
random_same,three_tier_clos,ring,trace,optimize,balanced,4,unknown-8gpu,8,24.884592,24.884592,33.493555,8.608964,6.033839,0.000000,0.858375,2.384075,2982240907.590272,3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1
random_same,three_tier_clos,ring,trace,optimize,balanced,5,unknown-large,8,22.113099,22.113099,46.385427,24.272327,17.715779,0.000000,2.185516,7.672570,3769525963.922333,4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0
random_same,three_tier_clos,ring,trace,optimize,balanced,6,unknown-large,8,33.538843,33.538843,56.269368,22.730525,15.930989,0.000000,2.266512,8.261482,3913810626.911822,5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7
random_same,three_tier_clos,ring,trace,optimize,balanced,7,unknown-8gpu,8,31.760317,31.760317,40.077665,8.317348,5.718922,0.000000,0.866142,2.333577,2892896574.031104,6:1;6:4;6:7;7:2;7:5;0:0;0:3;0:6
random_same,three_tier_clos,ring,trace,optimize,balanced,8,GPT,6,42.510091,42.510091,64.903719,22.393628,10.164752,0.000000,4.076292,6.059671,1596186483.299014,7:0;7:3;7:6;0:1;0:4;0:7
random_same,three_tier_clos,ring,trace,optimize,balanced,9,unknown-large,8,55.241153,55.241153,76.652263,21.411110,13.792820,0.000000,2.539430,7.917344,3347673843.262250,7:7;0:2;0:5;1:0;1:3;1:6;2:1;2:4
random_same,three_tier_clos,ring,trace,optimize,balanced,10,unknown-8gpu,8,38.568250,38.568250,46.077800,7.509550,4.680961,0.000000,0.942863,2.291180,2609218722.457367,0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3
random_same,three_tier_clos,ring,trace,optimize,balanced,11,GPT,8,31.760317,31.760317,47.184322,15.424005,10.599549,0.000000,1.608152,5.677973,3791107485.886130,1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2
random_same,three_tier_clos,ring,trace,optimize,balanced,12,GPT-large,8,77.141431,77.141431,102.916576,25.775145,17.041065,0.000000,2.911360,9.617792,3547148248.561706,2:4;2:7;3:2;3:5;4:0;4:3;4:6;5:1
random_same,three_tier_clos,ring,trace,optimize,balanced,13,unknown-large,8,55.241153,55.241153,73.270947,18.029795,11.309759,0.000000,2.240012,8.252901,3955998884.395005,3:3;3:6;4:1;4:4;4:7;5:2;5:5;6:0
random_same,three_tier_clos,ring,trace,optimize,balanced,14,unknown-8gpu,8,46.827190,46.827190,56.250313,9.423123,3.885747,0.000000,1.845792,2.419584,1407530500.447079,4:2;4:5;5:0;5:3;5:6;6:1;6:4;6:7
random_same,three_tier_clos,ring,trace,optimize,balanced,15,GPT-large,8,103.224914,103.224914,129.839176,26.614263,19.006275,0.000000,2.535996,9.872398,4179977663.913489,5:1;5:4;5:7;6:2;6:5;7:0;7:3;7:6
random_same,three_tier_clos,ring,trace,optimize,balanced,16,unknown-large,8,77.141431,77.141431,91.505473,14.364042,7.480080,0.000000,2.294654,7.650231,3579787187.071054,6:0;6:3;6:6;7:1;7:4;7:7;0:2;0:5
random_same,three_tier_clos,ring,trace,optimize,balanced,17,unknown-large,8,56.729221,56.729221,77.438156,20.708935,14.159413,0.000000,2.183174,7.764767,3818914608.508075,6:7;7:2;7:5;0:0;0:3;0:6;1:1;1:4
random_same,three_tier_clos,ring,trace,optimize,balanced,18,unknown-large,8,128.641585,128.641585,151.229412,22.587827,15.612980,0.000000,2.324949,7.942074,3667924338.599675,7:6;0:1;0:4;0:7;1:2;1:5;2:0;2:3
random_same,three_tier_clos,ring,trace,optimize,balanced,19,unknown-large,8,103.224914,103.224914,123.152684,19.927770,13.203852,0.000000,2.241306,8.068449,3865349553.390289,0:5;1:0;1:3;1:6;2:1;2:4;2:7;3:2
random_same,three_tier_clos,ring,trace,optimize,balanced,20,GPT-large,8,77.285499,77.285499,101.972852,24.687353,17.218733,0.000000,2.489540,9.799767,4226652190.105404,1:4;1:7;2:2;2:5;3:0;3:3;3:6;4:1
