scheduler,link_name,bandwidth_bps,total_bytes,utilization,makespan_s
random_same,local0,75000000000.0,1044505883652.0,0.046580,298.982524
random_same,local1,75000000000.0,976648764462.0,0.043554,298.982524
random_same,local2,75000000000.0,1162360630956.0,0.051836,298.982524
random_same,local3,75000000000.0,1094679438426.0,0.048818,298.982524
random_same,local4,75000000000.0,1047251457798.0,0.046703,298.982524
random_same,local5,75000000000.0,889706140548.0,0.039677,298.982524
random_same,local6,75000000000.0,858552654372.0,0.038288,298.982524
random_same,local7,75000000000.0,949892257650.0,0.042361,298.982524
random_same,nic0_0,12500000000.0,1646687251608.0,0.440611,298.982524
random_same,nic1_0,12500000000.0,1773260908440.0,0.474479,298.982524
random_same,nic2_0,12500000000.0,1861054158768.0,0.497970,298.982524
random_same,nic3_0,12500000000.0,1765460701284.0,0.472392,298.982524
random_same,nic4_0,12500000000.0,1747373843796.0,0.467552,298.982524
random_same,nic5_0,12500000000.0,1607384693460.0,0.430095,298.982524
random_same,nic6_0,12500000000.0,1522281093900.0,0.407323,298.982524
random_same,nic7_0,12500000000.0,1660809583944.0,0.444390,298.982524
random_same,sw0_0,25000000000.0,892253669496.0,0.119372,298.982524
random_same,sw0_1,25000000000.0,837091398657.0,0.111992,298.982524
random_same,sw0_2,25000000000.0,792015274659.0,0.105961,298.982524
random_same,sw0_3,25000000000.0,884560872366.0,0.118343,298.982524
random_same,sw0_4,25000000000.0,874717715988.0,0.117026,298.982524
random_same,sw0_5,25000000000.0,822752278698.0,0.110074,298.982524
random_same,sw0_6,25000000000.0,837091398657.0,0.111992,298.982524
random_same,sw0_7,25000000000.0,851673509079.0,0.113943,298.982524
random_same,sw1_0,50000000000.0,1659843677355.0,0.111033,298.982524
random_same,sw1_1,50000000000.0,1629106673316.0,0.108977,298.982524
random_same,sw1_2,50000000000.0,1736234381445.0,0.116143,298.982524
random_same,sw1_3,50000000000.0,1766971385484.0,0.118199,298.982524
random_same,sw2_0,100000000000.0,3396078058800.0,0.113588,298.982524
random_same,sw2_1,100000000000.0,3396078058800.0,0.113588,298.982524
