link_name,bandwidth_bps,total_bytes,utilization,makespan_s
local0,75000000000.0,148682800168.0,0.014203,139.579172
local1,75000000000.0,79764053992.0,0.007619,139.579172
local2,75000000000.0,153274995160.0,0.014642,139.579172
local3,75000000000.0,155196912416.0,0.014825,139.579172
local4,75000000000.0,157828720224.0,0.015077,139.579172
local5,75000000000.0,84082167064.0,0.008032,139.579172
local6,75000000000.0,164369874368.0,0.015701,139.579172
local7,75000000000.0,160541309824.0,0.015336,139.579172
nic0_0,12500000000.0,795702044928.0,0.456058,139.579172
nic1_0,12500000000.0,1073332711920.0,0.615182,139.579172
nic2_0,12500000000.0,1071851935168.0,0.614333,139.579172
nic3_0,12500000000.0,966154725088.0,0.553753,139.579172
nic4_0,12500000000.0,1100765589728.0,0.630905,139.579172
nic5_0,12500000000.0,1092618594368.0,0.626236,139.579172
nic6_0,12500000000.0,824542441184.0,0.472588,139.579172
nic7_0,12500000000.0,949899872880.0,0.544436,139.579172
sw0_0,25000000000.0,0.0,0.000000,139.579172
sw0_1,25000000000.0,3307287108776.0,0.947788,139.579172
sw0_2,25000000000.0,156552864496.0,0.044864,139.579172
sw0_3,25000000000.0,473593984360.0,0.135721,139.579172
sw1_0,50000000000.0,3780881093136.0,0.541754,139.579172
sw1_1,50000000000.0,156552864496.0,0.022432,139.579172
