link_name,bandwidth_bps,total_bytes,utilization,makespan_s
local0,50000000000.0,217341776736.0,0.053571,81.141146
local1,50000000000.0,217341776736.0,0.053571,81.141146
local2,50000000000.0,253817461128.0,0.062562,81.141146
local3,50000000000.0,253817461128.0,0.062562,81.141146
local4,50000000000.0,436285108056.0,0.107537,81.141146
local5,50000000000.0,436285108056.0,0.107537,81.141146
local6,50000000000.0,438987293808.0,0.108203,81.141146
local7,50000000000.0,438987293808.0,0.108203,81.141146
nic0_0,12500000000.0,847459141424.0,0.835541,81.141146
nic1_0,12500000000.0,847459141424.0,0.835541,81.141146
nic2_0,12500000000.0,917337435392.0,0.904436,81.141146
nic3_0,12500000000.0,917337435392.0,0.904436,81.141146
nic4_0,12500000000.0,290856738704.0,0.286766,81.141146
nic5_0,12500000000.0,290856738704.0,0.286766,81.141146
nic6_0,12500000000.0,292658195872.0,0.288542,81.141146
nic7_0,12500000000.0,292658195872.0,0.288542,81.141146
sw0_0,40000000000.0,2348311511392.0,0.723527,81.141146
