link_name,bandwidth_bps,total_bytes,utilization,makespan_s
local0,50000000000.0,148682800168.0,0.027642,107.579156
local1,50000000000.0,79764053992.0,0.014829,107.579156
local2,50000000000.0,153274995160.0,0.028495,107.579156
local3,50000000000.0,155196912416.0,0.028853,107.579156
local4,50000000000.0,157828720224.0,0.029342,107.579156
local5,50000000000.0,84082167064.0,0.015632,107.579156
local6,50000000000.0,164369874368.0,0.030558,107.579156
local7,50000000000.0,160541309824.0,0.029846,107.579156
nic0_0,12500000000.0,795702044928.0,0.591715,107.579156
nic1_0,12500000000.0,1073332711920.0,0.798172,107.579156
nic2_0,12500000000.0,1071851935168.0,0.797070,107.579156
nic3_0,12500000000.0,966154725088.0,0.718470,107.579156
nic4_0,12500000000.0,1100765589728.0,0.818572,107.579156
nic5_0,12500000000.0,1092618594368.0,0.812513,107.579156
nic6_0,12500000000.0,824542441184.0,0.613161,107.579156
nic7_0,12500000000.0,949899872880.0,0.706382,107.579156
sw0_0,40000000000.0,3937433957632.0,0.915009,107.579156
