link_name,bandwidth_bps,total_bytes,utilization,makespan_s
local0,75000000000.0,217341776736.0,0.032513,89.129382
local1,75000000000.0,217341776736.0,0.032513,89.129382
local2,75000000000.0,253817461128.0,0.037970,89.129382
local3,75000000000.0,253817461128.0,0.037970,89.129382
local4,75000000000.0,436285108056.0,0.065266,89.129382
local5,75000000000.0,436285108056.0,0.065266,89.129382
local6,75000000000.0,438987293808.0,0.065670,89.129382
local7,75000000000.0,438987293808.0,0.065670,89.129382
nic0_0,12500000000.0,847459141424.0,0.760655,89.129382
nic1_0,12500000000.0,847459141424.0,0.760655,89.129382
nic2_0,12500000000.0,917337435392.0,0.823376,89.129382
nic3_0,12500000000.0,917337435392.0,0.823376,89.129382
nic4_0,12500000000.0,290856738704.0,0.261065,89.129382
nic5_0,12500000000.0,290856738704.0,0.261065,89.129382
nic6_0,12500000000.0,292658195872.0,0.262682,89.129382
nic7_0,12500000000.0,292658195872.0,0.262682,89.129382
sw0_0,25000000000.0,0.0,0.000000,89.129382
sw0_1,25000000000.0,1525438067496.0,0.684595,89.129382
sw0_2,25000000000.0,0.0,0.000000,89.129382
sw0_3,25000000000.0,0.0,0.000000,89.129382
sw0_4,25000000000.0,0.0,0.000000,89.129382
sw0_5,25000000000.0,351282311800.0,0.157651,89.129382
sw0_6,25000000000.0,0.0,0.000000,89.129382
sw0_7,25000000000.0,471591132096.0,0.211643,89.129382
sw1_0,50000000000.0,1876720379296.0,0.421123,89.129382
sw1_1,50000000000.0,0.0,0.000000,89.129382
sw1_2,50000000000.0,471591132096.0,0.105822,89.129382
sw1_3,50000000000.0,0.0,0.000000,89.129382
sw2_0,100000000000.0,0.0,0.000000,89.129382
sw2_1,100000000000.0,2348311511392.0,0.263472,89.129382
