link_name,bandwidth_bps,total_bytes,utilization,makespan_s
local0,75000000000.0,148682800168.0,0.015280,129.744839
local1,75000000000.0,79764053992.0,0.008197,129.744839
local2,75000000000.0,153274995160.0,0.015751,129.744839
local3,75000000000.0,155196912416.0,0.015949,129.744839
local4,75000000000.0,157828720224.0,0.016219,129.744839
local5,75000000000.0,84082167064.0,0.008641,129.744839
local6,75000000000.0,164369874368.0,0.016892,129.744839
local7,75000000000.0,160541309824.0,0.016498,129.744839
nic0_0,12500000000.0,795702044928.0,0.490626,129.744839
nic1_0,12500000000.0,1073332711920.0,0.661811,129.744839
nic2_0,12500000000.0,1071851935168.0,0.660898,129.744839
nic3_0,12500000000.0,966154725088.0,0.595726,129.744839
nic4_0,12500000000.0,1100765589728.0,0.678726,129.744839
nic5_0,12500000000.0,1092618594368.0,0.673703,129.744839
nic6_0,12500000000.0,824542441184.0,0.508409,129.744839
nic7_0,12500000000.0,949899872880.0,0.585703,129.744839
sw0_0,25000000000.0,0.0,0.000000,129.744839
sw0_1,25000000000.0,3307287108776.0,1.019628,129.744839
sw0_2,25000000000.0,156552864496.0,0.048265,129.744839
sw0_3,25000000000.0,473593984360.0,0.146008,129.744839
sw0_4,25000000000.0,0.0,0.000000,129.744839
sw0_5,25000000000.0,0.0,0.000000,129.744839
sw0_6,25000000000.0,0.0,0.000000,129.744839
sw0_7,25000000000.0,0.0,0.000000,129.744839
sw1_0,50000000000.0,3307287108776.0,0.509814,129.744839
sw1_1,50000000000.0,156552864496.0,0.024132,129.744839
sw1_2,50000000000.0,473593984360.0,0.073004,129.744839
sw1_3,50000000000.0,0.0,0.000000,129.744839
sw2_0,100000000000.0,156552864496.0,0.012066,129.744839
sw2_1,100000000000.0,3780881093136.0,0.291409,129.744839
