scheduler,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_s,tensor_gib,intensity,placement
random_same,trace,optimize,balanced,0,unknown-mid,8,0.000000,0.000000,47.959657,47.959657,27.197728,4.518963,4.053357,963110107.009765,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1
random_same,trace,optimize,balanced,1,unknown-large,8,0.000000,0.000000,90.441789,90.441789,51.572384,10.924943,7.657949,752650162.784280,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0
random_same,trace,optimize,balanced,2,unknown-large,8,0.000000,0.000000,95.304878,95.304878,61.548460,10.423079,7.892551,813057457.086627,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3
random_same,trace,optimize,balanced,3,unknown-8gpu,8,0.000000,0.000000,35.715997,35.715997,24.542228,2.867400,2.401785,899385159.641431,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
random_same,trace,optimize,balanced,4,GPT-large,8,0.000000,0.000000,94.635182,94.635182,61.307944,8.600072,9.933646,1240242078.788445,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1
random_same,trace,optimize,balanced,5,unknown-small,2,0.000000,0.000000,22.431542,22.431542,0.910459,2.033594,0.959071,506391465.005062,0:3;1:2
random_same,trace,optimize,balanced,6,GPT,8,0.000000,0.000000,44.239935,44.239935,31.837567,2.419102,5.989574,2658530360.333287,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3
random_same,trace,optimize,balanced,7,GPT,8,0.000000,0.000000,45.104270,45.104270,35.355559,2.326554,5.639479,2602709615.968379,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2
random_same,trace,optimize,balanced,8,unknown-8gpu,8,0.000000,0.000000,27.897241,27.897241,19.276378,2.111570,2.507450,1275048393.654390,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1
random_same,trace,optimize,balanced,9,unknown-mid,8,0.000000,0.000000,54.543244,54.543244,33.110244,4.635467,4.156606,962820295.795298,7:3;0:2;1:1;2:0;2:3;3:2;4:1;5:0
random_same,trace,optimize,balanced,10,unknown-large,8,0.000000,0.000000,61.887466,61.887466,24.881866,9.322558,7.637266,879635388.185644,1:2;2:1;3:0;3:3;4:2;5:1;6:0;6:3
random_same,trace,optimize,balanced,11,unknown-8gpu,8,0.000000,0.000000,15.260007,15.260007,8.101660,0.932262,2.349506,2706066382.560851,3:1;4:0;4:3;5:2;6:1;7:0;7:3;0:2
