job_id,trace_job_name,model,start_s,duration_s,ranks,compute_s,tensor_gib,hosts
0,dlc4pudqcnyxva5i,unknown-mid,0.0,252240.0,8,4.518963,4.053357,6;2
1,dlc1tlbc3o1tu6e1,unknown-large,0.0,270660.0,8,10.924943,7.657949,6;4;6;3;5;7;2;2
2,dlchxa7t0mmnqkx5,unknown-large,0.0,104220.0,8,10.423079,7.892551,6;0;4;5;0;1;6;4
3,dlcszclqcimv8dfi,unknown-8gpu,0.0,695820.0,8,2.8674,2.401785,4
4,dlc15gyjnonfhop9,GPT-large,0.0,96780.0,8,8.600072,9.933646,0;7;1;3;3;0
5,dlc8qwxl04c5wglp,unknown-small,0.0,311760.0,2,2.033594,0.959071,0
6,dlc12s464ku89p74,GPT,0.0,58500.0,8,2.419102,5.989574,7
7,dlch518uc8o1aiav,GPT,0.0,58020.0,8,2.326554,5.639479,6
8,dlcdjgcuckx8fe7f,unknown-8gpu,0.0,75060.0,8,2.11157,2.50745,5
9,dlc5ipudg68y740n,unknown-mid,0.0,269280.0,8,4.635467,4.156606,2;2
10,dlcnkykg4m9931zz,unknown-large,0.0,1440.0,8,9.322558,7.637266,2;1;7;4;5;6;1;6;4;5;2;6;4;6;5;0;1;2;0;7;0;2;7;1;3;0;3;1;5;6;5;4
11,dlcivb3esbyml2ip,unknown-8gpu,0.0,360.0,8,0.932262,2.349506,3
