scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_s,tensor_gib,intensity,placement
random_same,star,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,70.385533,70.385533,68.735460,0.330015,8.594861,27964405134.098450,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1
random_same,star,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,75.718330,75.718330,73.393313,0.495209,9.277925,20116950358.263126,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0
random_same,star,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,13.673455,13.673455,9.278727,1.265609,0.716645,608001173.609735,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3
random_same,star,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,73.430202,73.430202,71.934779,0.299084,9.096861,32658700195.001358,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
random_same,star,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,76.368963,76.368963,75.153923,0.283500,9.638824,36506519330.634674,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1
random_same,star,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,15.765434,15.765434,10.124860,1.658161,0.797007,516101780.945749,0:3;1:2;2:1;3:0;3:3;4:2;5:1;6:0
random_same,star,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,79.548628,79.548628,77.716391,0.366447,10.371652,30390390190.311924,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3
random_same,star,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,79.971230,79.971230,77.916527,0.427910,10.470158,26272467870.272526,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2
random_same,star,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,21.283400,21.283400,16.820141,1.292181,1.515434,1259254399.633792,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1
random_same,star,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,80.413050,80.413050,78.969168,0.337768,10.753814,34185608902.838707,7:3;0:2;1:1;2:0;2:3;3:2;4:1;5:0
random_same,star,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,80.890872,80.890872,79.216550,0.336077,11.256473,35963653528.793274,1:2;2:1;3:0;3:3;4:2;5:1;6:0;6:3
random_same,star,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,19.486003,19.486003,15.349223,1.171837,1.348916,1235997695.369468,3:1;4:0;4:3;5:2;6:1;7:0;7:3;0:2
random_intensity,star,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,70.386095,70.386095,68.736022,0.330015,8.594861,27964405134.098450,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1
random_intensity,star,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,75.718354,75.718354,73.393348,0.495209,9.277925,20116950358.263126,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0
random_intensity,star,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,13.670991,13.670991,9.286952,1.265609,0.716645,608001173.609735,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3
random_intensity,star,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,73.430671,73.430671,71.935247,0.299084,9.096861,32658700195.001358,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
