round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.662610,1.626525,3.213287,1.023721
0,random_intensity,0.680786,1.587811,3.213287,1.023721
0,crux_no_compress,0.736560,1.454311,2.713808,1.023721
0,crux,0.736560,1.454311,2.713808,1.023721
1,random_same,0.578634,2.194512,5.176397,0.986581
1,random_intensity,0.584945,2.180609,5.154735,0.986581
1,crux_no_compress,0.645837,1.903078,4.127383,0.973963
1,crux,0.644906,1.906233,4.127383,0.986581
2,random_same,0.572261,2.164418,5.115115,1.030563
2,random_intensity,0.581765,2.142646,5.115115,1.030563
2,crux_no_compress,0.684645,1.813438,3.813701,1.030563
2,crux,0.684645,1.813438,3.813701,1.030563
3,random_same,0.714151,1.503088,2.444038,1.039510
3,random_intensity,0.737361,1.456315,2.403343,1.039510
3,crux_no_compress,0.747101,1.435130,2.403343,1.011573
3,crux,0.747101,1.435130,2.403343,1.011573
4,random_same,0.686309,1.657550,2.807419,1.051007
4,random_intensity,0.716696,1.583578,2.676245,1.051007
4,crux_no_compress,0.758094,1.490803,2.397944,1.030559
4,crux,0.757193,1.494455,2.397944,1.030559
5,random_same,0.677271,1.686180,3.162656,1.018176
5,random_intensity,0.683610,1.673265,3.148296,1.018176
5,crux_no_compress,0.694947,1.649372,3.148296,1.018176
5,crux,0.694947,1.649372,3.148296,1.018176
6,random_same,0.531810,2.506636,6.071301,0.977620
6,random_intensity,0.548627,2.454731,5.956597,0.977620
6,crux_no_compress,0.680241,1.833097,3.489477,0.968611
6,crux,0.680241,1.833097,3.489477,0.968611
7,random_same,0.688130,1.674731,3.025394,1.058771
7,random_intensity,0.703753,1.642437,3.010066,1.058771
7,crux_no_compress,0.746412,1.491917,2.469147,1.044989
7,crux,0.746412,1.491917,2.469147,1.044989
8,random_same,0.605178,2.115958,4.662161,1.052094
8,random_intensity,0.619805,2.080810,4.662161,1.052094
8,crux_no_compress,0.672394,1.865241,3.794578,1.043492
8,crux,0.672394,1.865241,3.794578,1.043492
9,random_same,0.501707,2.680115,5.870848,0.952921
9,random_intensity,0.520785,2.592659,5.588999,0.952921
9,crux_no_compress,0.610893,2.170306,4.051051,0.940928
9,crux,0.609905,2.173304,4.051051,0.952921
10,random_same,0.623172,1.948402,4.125746,0.949990
10,random_intensity,0.637502,1.917933,4.125746,0.949990
10,crux_no_compress,0.672721,1.751709,3.476222,0.934617
10,crux,0.672721,1.751709,3.476222,0.934617
11,random_same,0.643154,1.920491,3.568703,1.019883
11,random_intensity,0.671762,1.849076,3.502919,1.019883
11,crux_no_compress,0.715678,1.701232,2.980087,1.003951
11,crux,0.712422,1.710118,2.980087,1.003951
12,random_same,0.618469,2.054708,4.108939,0.952814
12,random_intensity,0.625463,2.038719,4.108939,0.952814
12,crux_no_compress,0.688412,1.816971,3.150913,0.939292
12,crux,0.688412,1.816971,3.150913,0.939292
13,random_same,0.578579,2.267567,4.229853,0.939651
13,random_intensity,0.609661,2.119180,3.675747,0.939651
13,crux_no_compress,0.653275,1.942181,3.428542,0.929108
13,crux,0.653275,1.942181,3.428542,0.929108
14,random_same,0.548055,2.368733,4.498499,0.956798
14,random_intensity,0.568750,2.279393,4.195266,0.956798
14,crux_no_compress,0.630618,2.066138,3.416803,0.956798
14,crux,0.627022,2.097347,3.416803,0.956798
15,random_same,0.482869,3.001623,6.147413,0.961785
15,random_intensity,0.528080,2.731642,5.132460,0.961785
15,crux_no_compress,0.616292,2.363179,4.056855,0.933939
15,crux,0.614592,2.368127,4.056855,0.933939
16,random_same,0.432147,3.488019,6.412479,0.976073
16,random_intensity,0.482280,3.130727,5.022336,0.976073
16,crux_no_compress,0.543555,2.880161,4.207124,0.965913
16,crux,0.543555,2.880161,4.207124,0.965913
17,random_same,0.588127,2.130346,4.898688,1.042346
17,random_intensity,0.604714,2.094146,4.898688,1.042346
17,crux_no_compress,0.663121,1.872984,4.045786,1.020094
17,crux,0.662139,1.875739,4.045786,1.031112
18,random_same,0.487972,2.864850,6.139656,0.989823
18,random_intensity,0.534498,2.567974,4.985175,0.989823
18,crux_no_compress,0.613733,2.267843,4.056480,0.968559
18,crux,0.605911,2.325812,4.164525,0.979425
19,random_same,0.498019,2.766546,7.093881,1.026508
19,random_intensity,0.512022,2.721594,7.093881,1.026508
19,crux_no_compress,0.612788,2.073408,4.605054,1.011989
19,crux,0.610931,2.083045,4.605054,1.026508
