round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.467738,2.688432,5.608983,1.390532
0,random_intensity,0.510928,2.528526,5.465941,1.390532
0,crux_no_compress,0.611390,2.039018,3.747090,1.352962
0,crux,0.587230,2.129739,3.860946,1.367381
1,random_same,0.441859,3.000955,6.466653,1.258672
1,random_intensity,0.474923,2.840598,6.265230,1.258672
1,crux_no_compress,0.571630,2.338306,4.556608,1.203212
1,crux,0.545547,2.459027,4.764664,1.225110
2,random_same,0.492802,2.470030,5.059551,1.232695
2,random_intensity,0.524895,2.362086,5.001393,1.232695
2,crux_no_compress,0.619925,2.019353,3.924944,1.197301
2,crux,0.601461,2.102591,4.089154,1.217198
3,random_same,0.455381,2.766829,6.121012,1.205405
3,random_intensity,0.491963,2.637228,6.044826,1.205405
3,crux_no_compress,0.614752,2.079948,4.081206,1.159725
3,crux,0.594972,2.159515,4.178823,1.188075
4,random_same,0.451014,2.824844,6.821612,1.182757
4,random_intensity,0.477472,2.732542,6.821612,1.182757
4,crux_no_compress,0.564214,2.266432,5.184184,1.117039
4,crux,0.547550,2.321613,5.258042,1.121483
5,random_same,0.526806,2.247377,4.267185,1.320292
5,random_intensity,0.572305,2.117540,4.136807,1.320292
5,crux_no_compress,0.640601,1.837266,3.291349,1.237780
5,crux,0.624145,1.887862,3.346022,1.257170
6,random_same,0.477105,2.611842,5.442658,1.254914
6,random_intensity,0.508798,2.498046,5.381636,1.254914
6,crux_no_compress,0.588875,2.174745,4.461444,1.169445
6,crux,0.558935,2.260926,4.660696,1.199820
7,random_same,0.464437,2.668120,6.200194,1.247532
7,random_intensity,0.493799,2.569289,6.117089,1.247532
7,crux_no_compress,0.591214,2.110905,4.539946,1.160830
7,crux,0.574822,2.186596,4.721477,1.191368
8,random_same,0.491144,2.426855,4.884792,1.247259
8,random_intensity,0.532521,2.286005,4.776182,1.247259
8,crux_no_compress,0.606718,2.005383,3.918358,1.186857
8,crux,0.587604,2.064520,3.947573,1.199143
9,random_same,0.476966,2.475444,5.498654,1.259266
9,random_intensity,0.512016,2.369401,5.397626,1.259266
9,crux_no_compress,0.588851,2.011052,4.186111,1.198252
9,crux,0.562578,2.080007,4.296347,1.213619
10,random_same,0.462480,2.859658,5.869176,1.335863
10,random_intensity,0.507802,2.681464,5.775976,1.335863
10,crux_no_compress,0.607923,2.170969,4.060859,1.306112
10,crux,0.587267,2.254681,4.196861,1.326728
11,random_same,0.540544,2.176771,4.166911,1.256785
11,random_intensity,0.580675,2.062252,4.061797,1.256785
11,crux_no_compress,0.643802,1.847508,3.434708,1.166760
11,crux,0.622952,1.902179,3.512169,1.195407
12,random_same,0.470344,2.742645,6.000186,1.255285
12,random_intensity,0.503047,2.615836,6.000186,1.255285
12,crux_no_compress,0.584962,2.226833,4.697243,1.200549
12,crux,0.565090,2.355047,5.030262,1.233397
13,random_same,0.400341,3.559847,6.904498,1.344468
13,random_intensity,0.455712,3.137028,5.586940,1.344468
13,crux_no_compress,0.529154,2.647399,4.412540,1.248896
13,crux,0.500964,2.811978,4.727288,1.315313
14,random_same,0.417560,3.330613,7.501899,1.233139
14,random_intensity,0.442407,3.229401,7.484200,1.233139
14,crux_no_compress,0.539367,2.612198,5.469310,1.195139
14,crux,0.507578,2.756662,5.756620,1.229782
15,random_same,0.435002,3.030847,6.899955,1.246214
15,random_intensity,0.468738,2.893457,6.887002,1.246214
15,crux_no_compress,0.575651,2.300284,4.792894,1.211873
15,crux,0.559188,2.358229,4.857123,1.241838
16,random_same,0.460197,2.808794,6.235003,1.237675
16,random_intensity,0.498260,2.648169,5.935669,1.237675
16,crux_no_compress,0.596908,2.113857,4.056734,1.162029
16,crux,0.559853,2.252045,4.459774,1.182603
17,random_same,0.414881,3.576934,8.461674,1.278849
17,random_intensity,0.450996,3.344316,7.904739,1.278849
17,crux_no_compress,0.551427,2.547709,5.363522,1.233229
17,crux,0.515343,2.696897,5.802587,1.251220
18,random_same,0.421661,3.336702,7.107235,1.120922
18,random_intensity,0.464472,3.025657,6.119371,1.120922
18,crux_no_compress,0.559572,2.481724,4.468551,1.066612
18,crux,0.536629,2.606887,4.815005,1.093713
19,random_same,0.479598,2.664686,5.775365,1.225323
19,random_intensity,0.505341,2.569673,5.775365,1.225323
19,crux_no_compress,0.614020,2.109212,4.309368,1.171605
19,crux,0.597070,2.166376,4.335279,1.205055
