round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.627990,1.858875,3.629075,1.073924
0,random_intensity,0.643707,1.818892,3.581565,1.073924
0,crux_no_compress,0.699063,1.675995,3.107276,1.043713
0,crux,0.695462,1.684827,3.107276,1.055602
1,random_same,0.586220,2.172766,4.436477,1.039895
1,random_intensity,0.599783,2.130745,4.436477,1.039895
1,crux_no_compress,0.670518,1.916904,3.750698,1.009899
1,crux,0.666394,1.935491,3.806531,1.019718
2,random_same,0.566385,2.147246,4.606288,1.042328
2,random_intensity,0.579901,2.108599,4.606288,1.042328
2,crux_no_compress,0.653077,1.854427,3.658694,1.027182
2,crux,0.646602,1.872862,3.658694,1.042328
3,random_same,0.556744,2.216308,4.639663,1.142696
3,random_intensity,0.576456,2.153076,4.639663,1.142696
3,crux_no_compress,0.623547,1.985906,4.095280,1.098037
3,crux,0.618805,2.009222,4.137562,1.130181
4,random_same,0.578638,2.183161,4.550946,0.994522
4,random_intensity,0.594973,2.141307,4.550946,0.994522
4,crux_no_compress,0.635226,1.960170,3.898928,0.982917
4,crux,0.629975,1.974311,3.898928,0.988437
5,random_same,0.692602,1.590979,2.811663,1.043747
5,random_intensity,0.723023,1.538501,2.681095,1.043747
5,crux_no_compress,0.766672,1.402694,2.207735,1.016128
5,crux,0.760183,1.414114,2.233248,1.016128
6,random_same,0.596914,1.973575,3.936129,0.998147
6,random_intensity,0.616126,1.922695,3.819786,0.998147
6,crux_no_compress,0.689157,1.727615,3.198707,0.987748
6,crux,0.683742,1.742413,3.198707,0.998147
7,random_same,0.571051,2.170722,4.986385,1.058465
7,random_intensity,0.585289,2.130585,4.986385,1.058465
7,crux_no_compress,0.641114,1.943050,4.297690,1.030309
7,crux,0.631718,1.973588,4.357167,1.035487
8,random_same,0.601833,2.173673,4.446014,1.014592
8,random_intensity,0.618252,2.113404,4.342379,1.014592
8,crux_no_compress,0.665480,1.942776,3.866604,0.997399
8,crux,0.656802,1.971709,3.919211,0.997399
9,random_same,0.621126,1.910757,3.810928,1.183990
9,random_intensity,0.643905,1.862422,3.742572,1.183990
9,crux_no_compress,0.720199,1.612487,2.822040,1.126024
9,crux,0.717459,1.620297,2.822040,1.141528
10,random_same,0.555405,2.464541,4.719128,1.069241
10,random_intensity,0.600893,2.267840,4.194340,1.069241
10,crux_no_compress,0.651491,2.078741,3.641770,1.057062
10,crux,0.640591,2.112066,3.704029,1.062532
11,random_same,0.620334,1.921914,3.888774,1.045080
11,random_intensity,0.640344,1.873635,3.857850,1.045080
11,crux_no_compress,0.691132,1.712251,3.263945,1.013832
11,crux,0.686072,1.723578,3.263945,1.019823
12,random_same,0.616432,1.947284,3.899898,1.010469
12,random_intensity,0.630988,1.913327,3.894138,1.010469
12,crux_no_compress,0.672634,1.781353,3.458563,0.994956
12,crux,0.669233,1.789210,3.458563,0.999644
13,random_same,0.532517,2.501752,4.484848,1.058057
13,random_intensity,0.573551,2.311083,3.908334,1.058057
13,crux_no_compress,0.620497,2.101578,3.443386,1.035034
13,crux,0.614151,2.125681,3.486877,1.050908
14,random_same,0.510875,2.647325,5.495272,1.008824
14,random_intensity,0.545602,2.466098,4.926315,1.008824
14,crux_no_compress,0.610836,2.217959,4.137035,0.994654
14,crux,0.596564,2.255645,4.249596,0.999905
15,random_same,0.577114,2.221541,4.759972,1.053712
15,random_intensity,0.596309,2.157097,4.744853,1.053712
15,crux_no_compress,0.663784,1.917572,3.887180,1.038925
15,crux,0.657101,1.942553,3.926811,1.038925
16,random_same,0.541342,2.554056,4.998360,1.073821
16,random_intensity,0.569900,2.428217,4.702619,1.073821
16,crux_no_compress,0.641094,2.106664,3.687246,1.056507
16,crux,0.627485,2.162424,3.817986,1.069201
17,random_same,0.517846,2.854070,6.349382,1.046155
17,random_intensity,0.545719,2.637752,5.602062,1.046155
17,crux_no_compress,0.630145,2.119945,3.890423,1.028852
17,crux,0.617047,2.192012,4.140332,1.038621
18,random_same,0.542925,2.505913,4.790915,1.004043
18,random_intensity,0.569845,2.393019,4.421263,1.004043
18,crux_no_compress,0.641136,2.147160,3.674988,0.969015
18,crux,0.631179,2.188841,3.725271,0.988153
19,random_same,0.563728,2.294745,4.895820,1.101230
19,random_intensity,0.573782,2.261498,4.886447,1.101230
19,crux_no_compress,0.656898,1.978565,3.876568,1.083508
19,crux,0.647522,2.016423,3.972447,1.095108
