round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.607334,1.929661,3.506272,1.139858
0,random_intensity,0.634176,1.854814,3.429715,1.139858
0,crux_no_compress,0.688449,1.701886,2.954628,1.105255
0,crux,0.680719,1.722014,2.954628,1.127018
1,random_same,0.650371,1.839559,3.396547,1.009529
1,random_intensity,0.670505,1.790139,3.359521,1.009529
1,crux_no_compress,0.709857,1.685606,3.036105,0.991484
1,crux,0.703547,1.700785,3.053212,0.991484
2,random_same,0.568958,2.123209,4.498950,1.104851
2,random_intensity,0.584661,2.081676,4.494386,1.104851
2,crux_no_compress,0.668190,1.801738,3.549173,1.062853
2,crux,0.652272,1.848479,3.657643,1.101169
3,random_same,0.595103,1.951252,3.389508,1.144451
3,random_intensity,0.633011,1.838806,3.286104,1.144451
3,crux_no_compress,0.678464,1.723922,2.927489,1.123031
3,crux,0.667584,1.754224,2.946066,1.139697
4,random_same,0.582210,2.171158,4.661297,1.038017
4,random_intensity,0.599321,2.120966,4.651985,1.038017
4,crux_no_compress,0.668986,1.862915,3.745227,1.020444
4,crux,0.657155,1.899716,3.793139,1.038017
5,random_same,0.609801,2.047755,4.242732,1.061836
5,random_intensity,0.625573,2.012419,4.236413,1.061836
5,crux_no_compress,0.679716,1.823425,3.583757,1.032175
5,crux,0.671373,1.855845,3.679724,1.044629
6,random_same,0.538961,2.483664,5.232733,1.022253
6,random_intensity,0.559259,2.417555,5.165742,1.022253
6,crux_no_compress,0.658264,1.953902,3.512859,1.011078
6,crux,0.648885,1.986591,3.545497,1.015109
7,random_same,0.608728,2.025344,4.246317,1.050956
7,random_intensity,0.627768,1.975419,4.246317,1.050956
7,crux_no_compress,0.689019,1.800343,3.578886,1.042920
7,crux,0.681548,1.830591,3.657297,1.047909
8,random_same,0.546022,2.358792,5.004862,1.128950
8,random_intensity,0.563349,2.306709,5.000556,1.128950
8,crux_no_compress,0.637322,2.050575,4.076922,1.099583
8,crux,0.630407,2.077589,4.119020,1.106373
9,random_same,0.633516,1.863542,3.605672,1.046514
9,random_intensity,0.651008,1.823113,3.577006,1.046514
9,crux_no_compress,0.701954,1.654443,2.997413,1.013900
9,crux,0.696973,1.667462,2.997413,1.023185
10,random_same,0.565110,2.287662,5.338650,1.012050
10,random_intensity,0.577542,2.259877,5.338650,1.012050
10,crux_no_compress,0.659962,1.899710,4.012647,0.992768
10,crux,0.647834,1.949120,4.148141,0.999299
11,random_same,0.551531,2.326927,5.039556,1.042471
11,random_intensity,0.580019,2.200672,4.742448,1.042471
11,crux_no_compress,0.652920,1.895518,3.681531,1.014134
11,crux,0.648249,1.909135,3.681659,1.031704
12,random_same,0.539326,2.382683,5.250802,1.053167
12,random_intensity,0.558862,2.310799,5.110284,1.053167
12,crux_no_compress,0.632796,2.007341,3.981997,1.020100
12,crux,0.623876,2.049772,4.098837,1.032867
13,random_same,0.490476,2.805868,5.547346,1.085767
13,random_intensity,0.526143,2.594059,4.819148,1.085767
13,crux_no_compress,0.612685,2.233090,3.862619,1.060730
13,crux,0.601245,2.286950,3.939000,1.068022
14,random_same,0.579431,2.270578,4.907343,1.087844
14,random_intensity,0.597571,2.223637,4.878699,1.087844
14,crux_no_compress,0.665325,1.867582,3.555676,1.046519
14,crux,0.657589,1.893320,3.622683,1.056604
15,random_same,0.571871,2.251516,4.823335,1.081261
15,random_intensity,0.590977,2.168717,4.641553,1.081261
15,crux_no_compress,0.659422,1.895909,3.725024,1.057420
15,crux,0.653341,1.911742,3.725024,1.072216
16,random_same,0.543062,2.341059,5.115110,1.079169
16,random_intensity,0.558286,2.294555,5.115110,1.079169
16,crux_no_compress,0.650595,1.953943,3.964000,1.055294
16,crux,0.638067,1.991559,4.054339,1.067326
17,random_same,0.517349,2.517952,5.043154,1.118485
17,random_intensity,0.544506,2.366574,4.614253,1.118485
17,crux_no_compress,0.609864,2.097523,3.907349,1.079329
17,crux,0.598116,2.146145,3.983551,1.095245
18,random_same,0.562657,2.232736,4.688146,1.032466
18,random_intensity,0.577842,2.182794,4.654481,1.032466
18,crux_no_compress,0.662011,1.915721,3.737622,0.999239
18,crux,0.653223,1.941619,3.737622,1.009288
19,random_same,0.525277,2.349357,5.432585,1.078904
19,random_intensity,0.540622,2.302223,5.432585,1.078904
19,crux_no_compress,0.630770,1.931580,4.086362,1.047438
19,crux,0.619866,1.976080,4.168873,1.067088
