round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.708627,1.570774,1.981705,1.191766
0,random_intensity,0.761003,1.469416,1.770396,1.191766
0,crux_no_compress,0.765388,1.455544,1.770396,1.146802
0,crux,0.762875,1.464111,1.770396,1.181070
1,random_same,0.662180,1.866379,3.704424,0.914397
1,random_intensity,0.664380,1.862198,3.704424,0.914397
1,crux_no_compress,0.733881,1.621784,2.856462,0.914397
1,crux,0.733881,1.621784,2.856462,0.914397
2,random_same,0.553203,2.515543,5.260878,1.116289
2,random_intensity,0.569107,2.463769,5.260878,1.116289
2,crux_no_compress,0.646499,2.052256,3.723838,1.099467
2,crux,0.640733,2.069458,3.723838,1.116289
3,random_same,0.736104,1.492031,2.364404,1.016973
3,random_intensity,0.761965,1.445562,2.343321,1.016973
3,crux_no_compress,0.795096,1.368916,2.036739,1.016973
3,crux,0.795096,1.368916,2.036739,1.016973
4,random_same,0.711720,1.646647,2.389803,1.008757
4,random_intensity,0.741226,1.586088,2.294700,1.008757
4,crux_no_compress,0.766423,1.530507,2.137590,0.993544
4,crux,0.766423,1.530507,2.137590,0.993544
5,random_same,0.688373,1.635787,2.510611,1.119415
5,random_intensity,0.711962,1.579333,2.439198,1.119415
5,crux_no_compress,0.746576,1.512413,2.262515,1.081533
5,crux,0.744691,1.517860,2.262515,1.093629
6,random_same,0.682302,1.638502,2.876172,1.113363
6,random_intensity,0.700850,1.598201,2.853755,1.113363
6,crux_no_compress,0.742888,1.509785,2.548355,1.070368
6,crux,0.742888,1.509785,2.548355,1.070368
7,random_same,0.760798,1.420498,1.815279,1.054664
7,random_intensity,0.790446,1.367623,1.751623,1.054664
7,crux_no_compress,0.791567,1.364771,1.751623,1.043253
7,crux,0.791567,1.364771,1.751623,1.043253
8,random_same,0.620981,2.000825,3.570935,0.968406
8,random_intensity,0.645699,1.935338,3.435300,0.968406
8,crux_no_compress,0.668759,1.857372,3.211491,0.968406
8,crux,0.668759,1.857372,3.211491,0.968406
9,random_same,0.645359,1.807335,3.753932,1.058572
9,random_intensity,0.662962,1.771683,3.753932,1.058572
9,crux_no_compress,0.702217,1.659395,3.332502,1.030851
9,crux,0.700959,1.663894,3.332502,1.048845
10,random_same,0.662288,1.860947,3.721231,0.989033
10,random_intensity,0.677131,1.828546,3.721231,0.989033
10,crux_no_compress,0.717250,1.715577,3.278291,0.980099
10,crux,0.717250,1.715577,3.278291,0.980099
11,random_same,0.630153,2.030631,4.128991,0.944995
11,random_intensity,0.644698,1.998155,4.081201,0.944995
11,crux_no_compress,0.715006,1.756705,3.199882,0.944995
11,crux,0.715006,1.756705,3.199882,0.944995
12,random_same,0.704035,1.657657,2.820828,1.034195
12,random_intensity,0.717145,1.629577,2.820828,1.034195
12,crux_no_compress,0.726945,1.603898,2.779447,0.983655
12,crux,0.726945,1.603898,2.779447,0.983655
13,random_same,0.613561,1.971819,4.176705,1.096663
13,random_intensity,0.624408,1.942751,4.176705,1.096663
13,crux_no_compress,0.705802,1.700810,3.283534,1.074066
13,crux,0.705130,1.703741,3.283534,1.085789
14,random_same,0.594364,2.086813,4.031709,1.006083
14,random_intensity,0.638349,1.953365,3.617050,1.006083
14,crux_no_compress,0.667751,1.862085,3.271960,0.991583
14,crux,0.667751,1.862085,3.271960,0.991583
15,random_same,0.561429,2.467884,4.603634,1.048099
15,random_intensity,0.581668,2.359149,4.228264,1.048099
15,crux_no_compress,0.659365,2.031259,3.714338,1.032798
15,crux,0.659365,2.031259,3.714338,1.032798
16,random_same,0.634141,1.953026,3.542446,0.982817
16,random_intensity,0.652817,1.896470,3.439218,0.982817
16,crux_no_compress,0.694454,1.782647,3.105060,0.974023
16,crux,0.694454,1.782647,3.105060,0.974023
17,random_same,0.600436,1.962732,4.147240,1.029359
17,random_intensity,0.613683,1.929387,4.147240,1.029359
17,crux_no_compress,0.680850,1.760749,3.572944,1.011200
17,crux,0.677451,1.769613,3.572944,1.029359
18,random_same,0.626031,2.056675,4.058107,1.046073
18,random_intensity,0.648623,2.007462,4.042101,1.046073
18,crux_no_compress,0.733285,1.693548,2.871142,1.036711
18,crux,0.733285,1.693548,2.871142,1.036711
19,random_same,0.695467,1.797588,2.849530,1.084604
19,random_intensity,0.713686,1.745729,2.849530,1.084604
19,crux_no_compress,0.725647,1.710360,2.849530,1.041491
19,crux,0.724254,1.714341,2.849530,1.057414
