round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.638603,1.774568,3.023884,1.166194
0,random_intensity,0.680551,1.662243,2.849436,1.152947
0,crux_no_compress,0.720714,1.564938,2.536600,1.144911
0,crux,0.720714,1.564938,2.536600,1.144911
1,random_same,0.580016,2.135725,4.600439,1.025012
1,random_intensity,0.615488,1.996720,4.157868,1.025012
1,crux_no_compress,0.645622,1.896454,3.869513,1.009968
1,crux,0.645622,1.896454,3.869513,1.009968
2,random_same,0.606684,1.968319,4.040115,1.043902
2,random_intensity,0.652499,1.858703,3.754082,1.037937
2,crux_no_compress,0.699245,1.726305,3.292128,1.037937
2,crux,0.699245,1.726305,3.292128,1.037937
3,random_same,0.677533,1.579405,2.432917,1.103065
3,random_intensity,0.722071,1.478214,2.333552,1.090895
3,crux_no_compress,0.730681,1.459878,2.297942,1.063997
3,crux,0.730681,1.459878,2.297942,1.063997
4,random_same,0.627612,1.897911,3.559730,1.033598
4,random_intensity,0.668771,1.798885,3.447163,1.027002
4,crux_no_compress,0.715074,1.678249,3.006316,1.019966
4,crux,0.715074,1.678249,3.006316,1.019966
5,random_same,0.653635,1.749311,3.172652,1.078955
5,random_intensity,0.694123,1.649635,2.967351,1.067783
5,crux_no_compress,0.707105,1.600118,2.804528,1.061205
5,crux,0.707105,1.600118,2.804528,1.061205
6,random_same,0.540746,2.415843,5.006008,1.059081
6,random_intensity,0.635327,2.100216,4.004603,1.059081
6,crux_no_compress,0.656817,2.018292,3.728647,1.046136
6,crux,0.656817,2.018292,3.728647,1.046136
7,random_same,0.581194,2.100132,4.360239,1.138032
7,random_intensity,0.644004,1.891724,3.803766,1.124482
7,crux_no_compress,0.671642,1.803421,3.492123,1.104865
7,crux,0.671642,1.803421,3.492123,1.104865
8,random_same,0.607594,2.013189,3.895607,1.119199
8,random_intensity,0.664527,1.856623,3.503334,1.112486
8,crux_no_compress,0.683945,1.765644,3.199460,1.106751
8,crux,0.683945,1.765644,3.199460,1.106751
9,random_same,0.542732,2.290543,5.086657,1.036957
9,random_intensity,0.589815,2.115573,4.593879,1.027219
9,crux_no_compress,0.643164,1.923605,3.851165,1.019224
9,crux,0.643164,1.923605,3.851165,1.019224
10,random_same,0.621666,1.836573,3.524315,1.090616
10,random_intensity,0.657457,1.743127,3.361986,1.074989
10,crux_no_compress,0.671608,1.695488,3.208768,1.054982
10,crux,0.671608,1.695488,3.208768,1.054982
11,random_same,0.550421,2.445747,4.789770,1.143653
11,random_intensity,0.604321,2.233046,4.503316,1.134381
11,crux_no_compress,0.625350,2.167281,4.288198,1.128215
11,crux,0.625110,2.168485,4.288198,1.133031
12,random_same,0.562690,2.233373,4.901258,1.033900
12,random_intensity,0.613309,2.043577,4.291139,1.033900
12,crux_no_compress,0.669045,1.848918,3.448991,1.006813
12,crux,0.669045,1.848918,3.448991,1.006813
13,random_same,0.539295,2.477639,5.472111,1.027110
13,random_intensity,0.586963,2.267403,4.735218,1.027110
13,crux_no_compress,0.637906,1.977309,3.669876,1.020082
13,crux,0.637906,1.977309,3.669876,1.020082
14,random_same,0.572700,2.165225,4.192969,0.995531
14,random_intensity,0.612487,2.023282,3.818155,0.989687
14,crux_no_compress,0.648587,1.921500,3.518933,0.971064
14,crux,0.648587,1.921500,3.518933,0.971064
15,random_same,0.523170,2.601765,5.093792,1.029078
15,random_intensity,0.575456,2.391888,4.439959,1.015928
15,crux_no_compress,0.613119,2.274313,3.995454,1.010514
15,crux,0.613119,2.274313,3.995454,1.010514
16,random_same,0.463621,3.089243,5.774724,1.012057
16,random_intensity,0.515216,2.777114,4.759687,1.012057
16,crux_no_compress,0.580819,2.491999,3.823962,1.005284
16,crux,0.580819,2.491999,3.823962,1.005284
17,random_same,0.503860,2.584361,5.683900,1.158698
17,random_intensity,0.547543,2.392255,5.205612,1.145462
17,crux_no_compress,0.627658,2.049611,3.892536,1.112130
17,crux,0.627224,2.051375,3.892536,1.119183
18,random_same,0.500748,2.709021,6.059663,1.053804
18,random_intensity,0.566722,2.363613,4.827682,1.046560
18,crux_no_compress,0.602306,2.207022,4.351005,1.015845
18,crux,0.602306,2.207022,4.351005,1.015845
19,random_same,0.542174,2.208621,4.963633,1.052328
19,random_intensity,0.573025,2.121728,4.831460,1.042648
19,crux_no_compress,0.645559,1.835475,3.754280,1.031938
19,crux,0.645559,1.835475,3.754280,1.031938
